Date;Open;High;Low;Close;Volume
2024.03.22 16:00;2178.14;2179.89;2157.09;2159.18;20436
2024.03.22 20:00;2158.87;2166.13;2158.75;2165.52;6316
2024.03.25 00:00;2167.75;2176.9;2163.99;2175.14;10996
2024.03.25 04:00;2175.16;2178.29;2167.75;2169.79;10535
2024.03.25 08:00;2169.79;2170.48;2163.5;2168.39;13490
2024.03.25 12:00;2168.39;2181.26;2167.61;2177.12;16122
2024.03.25 16:00;2177.15;2180.52;2174.24;2174.72;14590
2024.03.25 20:00;2174.72;2174.72;2170.71;2171.19;4566
2024.03.26 00:00;2171.42;2174.41;2167.57;2169.38;6928
2024.03.26 04:00;2169.38;2173.34;2169.27;2172.87;6111
2024.03.26 08:00;2172.86;2195.05;2169.62;2190.89;11585
2024.03.26 12:00;2190.81;2200.03;2178.46;2182.95;17853
2024.03.26 16:00;2182.91;2186.39;2171.67;2176.77;16926
2024.03.26 20:00;2176.77;2178.57;2174.59;2177.77;4325
2024.03.27 00:00;2178.37;2180.3;2172.87;2175.14;6344
2024.03.27 04:00;2175.14;2181.59;2174.68;2177.03;6856
2024.03.27 08:00;2176.91;2193.84;2176.46;2189.17;11046
2024.03.27 12:00;2188.97;2197.55;2183.5;2193.31;18725
2024.03.27 16:00;2193.25;2195.24;2188.4;2190.38;16072
2024.03.27 20:00;2190.38;2195.2;2189.04;2194.74;5388
2024.03.28 00:00;2191.31;2193.73;2187.27;2189.33;7306
2024.03.28 04:00;2189.33;2200.58;2189.1;2197.23;8883
2024.03.28 08:00;2197.23;2198.94;2190.86;2197.82;11639
2024.03.28 12:00;2197.82;2217.09;2197.1;2206.55;23474
2024.03.28 16:00;2207.75;2225.46;2204.32;2221.92;21522
2024.03.28 20:00;2221.85;2236.18;2217.95;2232.62;6466
2024.04.01 00:00;2240.87;2256.28;2235.57;2250.05;9404
2024.04.01 04:00;2250.05;2265.61;2250.05;2260.34;13944
2024.04.01 08:00;2260.33;2263.32;2255.78;2257.25;11028
2024.04.01 12:00;2257.28;2258.32;2243.59;2252.5;15221
2024.04.01 16:00;2252.5;2257.9;2228.51;2238.07;25004
2024.04.01 20:00;2238.09;2250.59;2234.72;2249.68;9334
2024.04.02 00:00;2249.34;2255.79;2247.81;2250.35;6654
2024.04.02 04:00;2250.35;2259.83;2246.67;2256.67;12347
2024.04.02 08:00;2256.67;2262.77;2252.17;2261.07;13317
2024.04.02 12:00;2261.07;2266.77;2253.34;2257.6;16773
2024.04.02 16:00;2257.57;2277;2250.87;2260.28;26768
2024.04.02 20:00;2260.28;2281.01;2259.5;2280.02;12488
2024.04.03 00:00;2281.33;2288.24;2277.77;2283.22;8064
2024.04.03 04:00;2283.27;2287.94;2276.75;2283.65;12243
2024.04.03 08:00;2283.75;2285.96;2267.67;2273.2;15634
2024.04.03 12:00;2273.2;2275.15;2265.42;2274.92;18090
2024.04.03 16:00;2274.93;2295.19;2271.58;2293.96;29097
2024.04.03 20:00;2293.8;2300.01;2288.89;2300.01;11578
2024.04.04 00:00;2299.02;2302.49;2296.24;2302.18;7394
2024.04.04 04:00;2302.29;2304.71;2297.51;2298.83;8467
2024.04.04 08:00;2298.8;2300.67;2291.07;2291.58;11712
2024.04.04 12:00;2291.58;2295.16;2282.87;2288.15;14960
2024.04.04 16:00;2288.22;2299.31;2284.69;2286.87;22483
2024.04.04 20:00;2286.87;2305.56;2279.95;2290.37;19198
2024.04.05 00:00;2291.42;2293.26;2282.85;2283.07;5986
2024.04.05 04:00;2283.07;2284.08;2267.75;2278;13040
2024.04.05 08:00;2278;2291.78;2276.59;2288;14204
2024.04.05 12:00;2288;2296.1;2280.26;2290.87;15635
2024.04.05 16:00;2290.91;2329.48;2286.99;2327.14;29990
2024.04.05 20:00;2327.28;2330.44;2320.72;2328.09;12482
2024.04.08 00:00;2326.01;2326.49;2303.75;2306.15;10863
2024.04.08 04:00;2306.15;2353.84;2302.9;2342.16;20899
2024.04.08 08:00;2342.18;2343.58;2331.76;2336.25;17551
2024.04.08 12:00;2336.21;2343.47;2322.77;2328.97;19872
2024.04.08 16:00;2329.15;2335.71;2318.62;2328.52;27811
2024.04.08 20:00;2328.54;2342.01;2327.61;2338.46;11690
2024.04.09 00:00;2337.44;2341.66;2337.04;2340.79;4298
2024.04.09 04:00;2340.79;2348.42;2337.78;2344.16;14464
2024.04.09 08:00;2344.18;2359.28;2343.18;2357.59;19068
2024.04.09 12:00;2357.69;2365.28;2345.77;2349.33;23280
2024.04.09 16:00;2349.27;2364.2;2338.23;2344.97;30430
2024.04.09 20:00;2344.97;2354.5;2341.95;2352.89;12733
2024.04.10 00:00;2352.41;2355.52;2350.37;2351.54;4652
2024.04.10 04:00;2351.6;2356.81;2344.7;2356.21;13576
2024.04.10 08:00;2356.21;2360.03;2352.4;2354.5;14684
2024.04.10 12:00;2354.5;2354.75;2327.82;2338.37;18144
2024.04.10 16:00;2338.41;2352.27;2319.43;2337.21;33052
2024.04.10 20:00;2337.21;2345.19;2325.67;2331.79;16569
2024.04.11 00:00;2333.8;2337.17;2333.11;2335.18;4962
2024.04.11 04:00;2335.1;2346.79;2334.02;2342.87;12230
2024.04.11 08:00;2342.94;2344.58;2325.85;2328;19900
2024.04.11 12:00;2327.98;2344.36;2327.91;2341.41;21068
2024.04.11 16:00;2341.3;2350.76;2332.36;2349.77;27492
2024.04.11 20:00;2349.82;2377.64;2348.13;2374.59;16548
2024.04.12 00:00;2373.85;2379.37;2371.78;2378.62;7224
2024.04.12 04:00;2378.72;2395.35;2378.68;2384.11;20513
2024.04.12 08:00;2384.11;2400.54;2383.29;2396.65;18777
2024.04.12 12:00;2396.67;2400.36;2390.47;2395.83;19616
2024.04.12 16:00;2395.92;2431.44;2360.73;2369.27;40385
2024.04.12 20:00;2369.37;2372.95;2333.86;2344.58;20959
2024.04.15 00:00;2359.72;2372.37;2346.38;2353.12;12777
2024.04.15 04:00;2353.13;2364.6;2348.3;2356.61;14876
2024.04.15 08:00;2356.61;2362.48;2344.58;2351.52;20183
2024.04.15 12:00;2351.52;2361.23;2346.27;2357.23;17634
2024.04.15 16:00;2357.35;2361.07;2323.98;2357.12;29651
2024.04.15 20:00;2356.97;2387.51;2354.11;2381.16;18729
2024.04.16 00:00;2382.29;2392.08;2380.18;2383.4;8309
2024.04.16 04:00;2383.46;2389.31;2379.23;2386.06;16237
2024.04.16 08:00;2386.1;2389.01;2362.99;2369.38;18509
2024.04.16 12:00;2369.39;2378.21;2367.46;2376.19;18475
2024.04.16 16:00;2376.31;2398.18;2363.55;2397.48;33235
2024.04.16 20:00;2397.48;2397.62;2378.66;2378.66;19401
2024.04.17 00:00;2383.4;2386.89;2380.79;2384.42;7307
2024.04.17 04:00;2384.44;2386.11;2380.31;2381.9;11081
2024.04.17 08:00;2381.91;2393.56;2372.64;2392.98;18399
2024.04.17 12:00;2392.98;2394.29;2378.37;2383.32;18243
2024.04.17 16:00;2383.24;2395.53;2361.06;2372.34;30794
2024.04.17 20:00;2372.3;2379.06;2354.54;2361.34;17851
2024.04.18 00:00;2364.36;2370.08;2362.98;2369.71;6260
2024.04.18 04:00;2369.71;2376.51;2364.05;2375.11;15407
2024.04.18 08:00;2375.2;2380.93;2373.84;2379.95;16281
2024.04.18 12:00;2379.95;2387.5;2377.25;2385.47;18250
2024.04.18 16:00;2385.46;2392.76;2369.58;2387.93;44153
2024.04.18 20:00;2387.93;2389.32;2376.91;2376.97;17314
2024.04.19 00:00;2379.3;2381.42;2373.7;2379.44;6669
2024.04.19 04:00;2379.42;2417.83;2378.77;2383.43;59037
2024.04.19 08:00;2383.52;2393.82;2378.07;2384.27;33394
2024.04.19 12:00;2384.28;2386.07;2372.91;2381.46;15616
